chroma_stft,chroma_cqt,chroma_cens,melspectogram,rms,centroid,bandwidth,contrast,flatness,rolloff,crossing_rate,tempogram,fourier_tempogram,mcffs_1,mcffs_2,mcffs_3,mcffs_4,mcffs_5,mcffs_6,mcffs_7,mcffs_8,mcffs_9,mcffs_10,mcffs_11,mcffs_12,mcffs_13,mcffs_14,mcffs_15,mcffs_16,mcffs_17,mcffs_18,mcffs_19,mcffs_20,mcffs_21,mcffs_22,mcffs_23,mcffs_24,mcffs_25,mcffs_26,mcffs_27,mcffs_28,mcffs_29,mcffs_30,mcffs_31,mcffs_32,mcffs_33,mcffs_34,mcffs_35,mcffs_36,mcffs_37,mcffs_38,mcffs_39,mcffs_40,Label
0.5364881,0.7022021,0.284556,0.7560801,0.06404034,4003.4559879788994,3098.672594894485,16.95943881464715,0.0036852893,7657.519106657609,0.14416751585144927,0.20876852395570186,(0.4739867150783539-0.007268027868121862j),-198.81116,111.6719,-105.67475,34.92129,-50.005417,25.38724,-33.837074,5.9837394,-3.0292268,-2.879132,7.725083,-12.75503,13.9286375,-5.0601697,11.401012,-7.109617,5.925227,2.96214,5.009003,4.6596036,-2.8721666,7.9710317,-7.345706,4.8095922,-3.3770678,1.292658,-2.8664382,0.92774767,-0.25244465,-2.50038,9.222384,-3.6898406,4.352187,-1.3935506,1.2135879,-0.56319183,-2.0840478,1.696303,-1.1606286,2.1006143,101281-3-0-0.wav
0.5223887,0.6450292,0.28031164,3.9653728,0.15367939,3663.1538506045085,2980.23267213272,17.936537011268808,0.0003735273,6996.85546875,0.12051913496376812,0.25505886984528564,(0.43395793437957764-3.7244168197503313e-05j),-97.17017,120.5182,-110.38761,30.554201,-56.230854,18.819647,-37.172813,1.1344781,-7.9104095,-6.6414976,5.007255,-9.7566395,17.02378,-4.3769927,13.111203,-3.0507557,7.4080844,0.42361185,2.5910437,3.2625701,-3.8894973,5.63723,-8.24855,1.7098367,-6.729996,0.3081708,-2.2559009,2.9425282,1.328192,-0.098259725,8.81101,-1.363158,5.6369624,-1.8856957,2.524245,0.021171503,1.0479649,2.798164,0.70890474,1.3581351,101281-3-0-14.wav
0.5221115,0.6864213,0.2830162,1.2541015,0.08824568,3497.259098079587,2792.6533961564,17.06595142064216,0.00036763243,6387.12253736413,0.12223873414855073,0.24369794163356248,(0.440112829208374+0.0028568534180521965j),-156.9726,125.56807,-108.63639,29.95745,-41.280697,19.57654,-32.247013,0.9525863,-2.929316,-4.8834076,6.90883,-11.68152,13.788867,-4.3401666,6.8616734,-7.233454,2.6205914,-0.25328326,-1.5046484,2.3452249,-4.5588055,5.5218544,-4.982606,3.148882,-3.0403242,1.5402776,-0.022195058,1.8012516,1.0449522,-2.707463,5.373108,-3.100135,3.897594,-1.22028,1.6545637,0.892944,-0.6551425,2.5898216,0.41761878,2.6528213,101281-3-0-5.wav
0.59091187,0.75924504,0.28502446,1.6066817,0.099039726,4268.599189045276,4691.962395774214,16.18471673270153,0.028162299,9089.570737092392,0.09591400588768116,0.2561025232182507,(0.4733121991157532-0.0032009759452193975j),-83.73771,106.74529,-17.76202,18.131405,-14.979093,4.3710623,-9.969088,-1.9827523,-1.1177489,-0.37689632,-5.9465933,0.39233035,-4.3146186,-0.2518538,-3.968359,1.1170408,-2.940516,1.4422619,-0.4922002,1.4781048,0.8415078,2.243985,-0.42407456,3.3075647,-1.2656968,1.5231609,-1.1104776,2.9330912,-0.47928417,1.6116458,-1.3839308,1.5706729,-0.3805181,2.0078397,-0.61543775,0.7952177,-0.5409377,2.0462039,0.051545445,2.3386037,104327-2-0-15.wav
0.49766698,0.7181868,0.28336683,7.645101,0.20939574,4003.600035245068,4865.868674089159,16.063728913219833,0.020616246,8888.719004755434,0.07891474184782608,0.27684821482391936,(0.44442111253738403+0.0008903900161385536j),-23.340101,114.53745,-9.9937,12.444011,-9.791288,0.69325846,-7.5625186,-3.1715395,-1.4420631,-0.8664145,-3.906624,0.120380215,-3.0970774,0.7975314,-3.356281,1.0505286,-1.2067221,1.8092508,-0.30029353,1.4352266,0.2890713,2.0715437,-1.1181892,2.5144231,-0.6006132,1.5870613,-0.7659819,2.1277077,-0.4962582,1.626669,-1.0212137,1.6631312,-0.91303515,2.3162258,0.48089555,1.5102448,-0.74821097,1.7600756,0.7276278,2.5152495,104327-2-0-19.wav
0.55771,0.7368698,0.28619108,0.7964677,0.06350386,4600.417485002063,4888.70329318768,16.023282308752876,0.03671279,9738.562754755434,0.11134086277173913,0.25372775026240024,(0.478562593460083+0.001191924442537129j),-127.12622,99.55286,-19.77437,13.692988,-14.561017,0.24321103,-11.28437,-3.4216716,-3.5119474,-2.1840775,-5.5133286,-0.86132723,-4.682947,-0.3651292,-4.7881002,0.26572293,-1.5497987,1.6218191,-1.248476,0.63978326,-0.019280586,1.8546193,-1.7683328,2.1499274,-1.3365319,1.0326363,-1.8410118,1.4436542,-1.4726777,1.3885889,-1.0675026,2.1390707,-0.8298561,0.66864914,-0.5754864,1.1744833,-0.6204648,1.5210905,-0.2894364,2.0747173,104327-2-0-26.wav
0.50376594,0.709115,0.2859936,2.70002,0.12729125,4351.75899471516,4708.939094110723,16.439531415608595,0.02851118,9196.050866168478,0.10118885869565217,0.27255469469885774,(0.4686177968978882+0.00020246698113624007j),-57.74846,103.79294,-23.155243,11.453878,-18.127066,-1.4046843,-13.931666,-5.019638,-4.8495307,-2.5569527,-7.4915094,-3.0008748,-5.9120364,-1.805463,-5.7282057,-0.5526009,-3.331507,1.1692721,-0.40032107,0.43893194,-2.125198,-0.07129333,-2.875185,1.0173786,-2.1834884,1.218538,-1.825623,0.8429043,-3.0447464,0.32549807,-1.6910326,0.9766488,-1.9716518,0.35761273,-0.20691444,1.1117316,-1.3399855,0.45662618,-1.3750025,0.7018863,104327-2-0-28.wav
0.5501243,0.7541636,0.28581282,0.98496467,0.07509131,3924.0648851656188,4754.474262724694,15.951458675710592,0.020703051,8605.666610054348,0.07987007472826087,0.25827022667810506,(0.4514266550540924+0.0024531681556254625j),-119.55286,116.921906,-10.359684,16.870083,-8.055885,-0.7417867,-11.2041025,-3.769619,-2.3989859,-2.004743,-4.579053,-0.34882775,-5.2222366,-1.305892,-5.778698,-1.371692,-3.194195,-1.1406578,-3.3325598,-1.3959056,-1.1933825,1.6289703,-1.6258994,0.71305,-3.0397832,0.16991106,-2.029001,1.3562603,-1.8821155,0.44743723,-1.6486689,1.1947408,-0.378692,1.5737468,-0.64893925,0.820354,-1.5386556,0.715045,-0.843914,1.470966,104327-2-0-3.wav
0.53189975,0.73660845,0.28564504,1.9305797,0.10344586,4385.371303081231,5000.519373161221,16.111138447545265,0.029840553,9625.092136548914,0.09476052989130435,0.26236663965885876,(0.44553565979003906-0.002434162888675928j),-81.4417,106.656944,-12.358217,11.991457,-10.499463,-0.6621369,-12.249862,-6.547748,-4.3616242,-3.9677956,-5.768214,-1.6187652,-5.2120132,-1.1935424,-5.0839653,-1.3784666,-4.2769737,-0.69445664,-3.2399151,-0.78656286,-1.5867342,0.21277674,-2.2941082,1.4517903,-2.224482,0.110366456,-2.9022803,0.31043273,-2.2385921,0.08727653,-2.2950332,0.5845132,-1.606043,0.46782368,-1.289696,0.49645057,-1.2604108,0.8987908,-1.0201029,0.8497535,104327-2-0-30.wav
0.45975873,0.70909816,0.28467423,3.1139727,0.135225,3773.9208670458543,4669.647282515134,16.723421115521045,0.015650744,8004.796620244565,0.07907891757246377,0.26519070496275954,(0.4616585075855255+0.0046309782192111015j),-75.424484,119.52613,-12.154716,17.521599,-2.3939788,-1.9829661,-8.131281,-4.831616,-4.455574,-1.8496054,-3.1031406,-3.8793757,-6.714211,1.6563848,-3.5740469,-1.045128,-0.8582999,0.9155084,-3.992827,-1.88068,-2.4822006,0.83206964,0.50992376,3.0322948,-3.8561275,-1.476746,-1.3140932,2.5543113,-1.7569938,-0.56798315,-2.4035814,1.6851428,-0.5498449,-0.02000969,-3.2046006,-0.3869429,-1.1608617,0.9153071,-1.9409933,-0.035673745,104327-2-0-34.wav
