chroma_stft,chroma_cqt,chroma_cens,melspectogram,rms,centroid,bandwidth,contrast,flatness,rolloff,crossing_rate,tempogram,fourier_tempogram,mcffs_1,mcffs_2,mcffs_3,mcffs_4,mcffs_5,mcffs_6,mcffs_7,mcffs_8,mcffs_9,mcffs_10,mcffs_11,mcffs_12,mcffs_13,mcffs_14,mcffs_15,mcffs_16,mcffs_17,mcffs_18,mcffs_19,mcffs_20,mcffs_21,mcffs_22,mcffs_23,mcffs_24,mcffs_25,mcffs_26,mcffs_27,mcffs_28,mcffs_29,mcffs_30,mcffs_31,mcffs_32,mcffs_33,mcffs_34,mcffs_35,mcffs_36,mcffs_37,mcffs_38,mcffs_39,mcffs_40,Label
0.47334948,0.4236995,0.2520046,7.2119136,0.18488751,1939.3008359248217,3242.532292250186,16.51091203364003,0.0014006601,3601.038128396739,0.03330927309782609,0.19585643641407255,(0.47996488213539124-4.8110268835444e-05j),-134.3046,172.94499,0.07841848,15.525914,-4.1097474,25.261068,-5.1065364,4.937949,-6.1385217,11.922579,6.0634236,-3.7537742,-0.55431765,-2.039683,2.0901582,-3.8383613,-2.3462656,0.49599853,-4.880736,-3.5762594,-6.0012364,-0.8629299,-1.6884451,-1.5369138,-2.598746,-2.7527132,-2.3328128,-4.474612,-1.6012161,-0.29957578,-0.16792351,-0.8648481,0.51178414,2.963914,3.1039162,0.8368914,-4.640948,-2.923665,-2.392715,1.5679892,101848-9-0-0.wav
0.50912786,0.4175319,0.24970166,8.005108,0.19481613,1941.8958230192102,3268.9106037697993,16.209399245703477,0.0016928604,3578.818359375,0.03168591485507247,0.1970590078934251,(0.4899742603302002+3.498887235764414e-05j),-129.45288,174.03372,-0.27759206,15.326947,-4.505092,25.072016,-3.6320326,4.6527705,-4.102371,12.759128,4.5130477,-2.8094952,-1.5786896,-2.4187722,2.0193527,-4.111764,-2.410644,0.15794401,-6.922475,-3.9306617,-3.9363108,1.5245197,-3.4637969,-2.7254324,-2.3746896,-2.6207495,-2.5749462,-4.2704473,-0.89170367,-1.8375347,-1.897658,-0.6232139,1.2359531,2.32705,2.247072,1.1756793,-3.723344,-2.5210383,-3.050858,1.499295,101848-9-0-1.wav
0.48945895,0.42499736,0.24933091,6.819539,0.18098928,2090.8567471744223,3404.391244305186,16.646178335480222,0.0020291812,3916.2342900815215,0.03734007019927536,0.19284674356556136,(0.504777729511261+0.0004982863902114332j),-130.5805,166.39278,0.16307744,17.380564,-5.4112597,23.130854,-1.0331821,3.9429653,-3.4514787,13.655916,1.6257708,-6.2150145,-3.2218056,-4.007234,1.8810512,-2.7553475,0.11512336,2.5911646,-3.3445036,-1.9941885,-6.2059293,-0.7430753,-1.7243925,-2.715797,-0.3975142,-3.1768768,-3.7913103,-4.4872794,0.26492363,-1.0646336,0.5227468,-0.7793302,0.7179088,3.311412,1.7997713,-0.073067665,-6.280743,-2.560228,-1.2789801,1.5236114,101848-9-0-2.wav
0.4929103,0.44710112,0.25148484,6.990344,0.18062046,1942.6540824221363,3270.5323348885727,16.57970396768027,0.0015118393,3529.3856148097825,0.034106091485507244,0.16019088681859117,(0.49139511585235596-0.004207789432257414j),-141.48361,172.01988,3.0934238,15.570087,-4.070893,23.280151,-0.85627,7.1296515,-5.4518266,10.403386,-1.8885089,-6.3607087,-2.3279548,-4.5851965,0.2771219,-4.296178,0.5851643,1.4764711,-2.7719235,-0.78735715,-4.503558,-1.5234164,-1.0413351,-2.8833544,-1.8694857,-4.381294,-2.5580542,-4.3349743,-1.0568819,-1.2200129,1.0408818,-0.57658017,-0.49367064,1.304855,0.08031364,-0.16203578,-5.04157,-1.1152319,-0.478145,-0.07532163,101848-9-0-3.wav
0.5074987,0.49199802,0.2615929,1.3033552,0.07778417,1856.4320760940361,3182.401065260134,15.435953873751638,0.0015160446,3218.059188179348,0.029875735960144926,0.21652013162482545,(0.4659203588962555+0.007153406739234924j),-221.5067,177.7182,1.8595417,18.106937,-6.3027225,23.18909,-3.0039806,5.5848503,-11.838245,9.486823,2.3457239,-2.7716575,-0.17131737,-0.9577271,3.1432316,-2.2972536,-1.6896633,1.2656376,-4.8416605,0.088347286,-0.47287554,1.5998923,-1.0871605,-0.59054625,-1.6769025,-1.7812153,-2.0061233,-2.289564,-0.6233196,-0.66817945,-0.6867034,-2.3264914,-2.0864584,-1.1444738,0.24133694,1.3893006,-4.358794,-1.9958758,-0.4745428,0.18654326,101848-9-0-8.wav
0.5129441,0.5031097,0.26578575,1.2860984,0.07784279,1997.6567184904231,3323.758354677368,15.853022844337389,0.0016594225,3586.745074728261,0.033967391304347824,0.21485711903193377,(0.47689372301101685+0.0018790429458022118j),-213.72475,170.54999,0.6234981,19.396713,-5.7028346,23.740856,-3.5543506,3.7268124,-11.091469,12.279222,1.984546,0.2940367,1.6009376,-0.34167114,3.447985,-4.550404,-3.985353,1.5475589,-3.892813,-2.0000124,-3.3302164,0.83065647,-1.0191745,-0.47739038,-2.2066686,-0.84085625,-2.5316393,-2.4118958,-2.003231,-1.0614612,1.0161114,0.5447073,-0.7000361,-0.12815738,1.6264465,2.9528236,-5.216108,-4.116949,-1.7124455,0.78924596,101848-9-0-9.wav
0.3132059,0.6042834,0.27563483,7.7439184,0.20285974,2162.6873088551215,3196.0781784012065,15.127960088106951,0.00178152,3229.231487771739,0.05157382246376811,0.2792856871354857,(0.4215421676635742+0.000966300314757973j),-113.52372,166.66423,-28.382093,-11.16204,-18.499382,-10.144156,-0.6369704,11.786911,18.208708,6.9008207,-5.014502,-8.582324,-1.9070596,-0.7902496,-8.373328,-11.704482,-7.5828876,-0.91144985,-3.5797746,-5.2611284,-1.7629085,-3.354887,-7.6262603,-4.756457,-1.0968703,-1.0702364,-2.543236,-2.6633902,-3.6743996,-1.3796176,2.2593324,1.2721255,-2.0026205,-2.8323581,-2.3757732,-2.3833213,-2.0618246,-1.163368,-2.28232,-2.1878943,102853-8-0-0.wav
0.3199734,0.6249077,0.27674392,0.6739535,0.056478407,2222.7953679267184,3233.110992026282,14.210761192089759,0.0019627297,3325.163468070652,0.05286458333333333,0.2548797878708626,(0.43396469950675964+0.004073428455740213j),-238.06909,164.36737,-31.758446,-13.861603,-19.96968,-6.3476415,2.2467694,12.197632,15.093703,4.52643,-6.644373,-8.805619,-0.9883909,-0.20377108,-6.6552043,-10.048118,-6.4849157,-0.34644604,-1.6707274,-3.1212208,-2.4124303,-5.1103663,-7.3446727,-3.3389292,0.22648863,0.22919737,-0.6127802,-0.7712326,-1.813365,0.74835604,2.9190924,0.853435,-2.1140401,-3.6010456,-2.423491,-1.6155897,-0.97482806,0.3930427,-0.81104124,-0.8236983,102853-8-0-1.wav
0.3450727,0.67711073,0.28046313,0.50677365,0.04785941,2343.865810283515,3437.871942963539,13.566453367256049,0.002801136,3794.587296195652,0.053784533514492756,0.23709141028811312,(0.4368024468421936+0.002086305757984519j),-242.0005,161.6008,-25.797333,-11.364345,-22.740341,-3.7326033,4.962416,11.108279,14.230899,5.4274707,-5.7346582,-7.89033,-1.0321367,-1.0702306,-5.5584874,-7.883725,-5.10441,-0.51680654,-1.0143914,-1.9803749,-2.7026527,-5.518034,-5.9065814,-1.9037025,0.6728484,0.93589664,0.45307538,0.37406537,-0.6028322,1.3612355,2.1958723,0.496363,-1.4068282,-2.7146919,-1.0676347,-0.45206156,0.53696114,0.97453827,-0.9995079,-0.8373035,102853-8-0-2.wav
0.3617906,0.6874178,0.2811589,4.8420777,0.16606678,2661.9834708632584,3744.983694356614,13.130312579935094,0.0052443803,4945.771059782609,0.05876075634057971,0.27592792569589203,(0.4254116415977478-0.00037202672683633864j),-95.8029,150.54701,-22.964144,-6.5027747,-24.746819,1.9413536,8.35649,13.08914,13.771848,3.2015681,-6.934512,-6.8860126,2.402135,0.30904603,-3.3910856,-7.504587,-4.7657943,-0.5896245,-1.037082,-1.1472362,-2.3667974,-5.103481,-5.492927,-1.2684369,1.6037244,3.1741168,0.9692894,0.000115944684,-0.36651406,1.681061,1.9664526,0.4648464,-1.3152008,-2.3093293,-0.41568923,0.9451646,1.7036461,0.72409916,-1.1229064,-0.7882058,102853-8-0-3.wav
